"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
852,"I WANNA DANCE WITH SOMEBODY","WHITNEY HOUSTON","ARISTA/LEGACY","SONY MUSIC"
853,"BLUE SKY","GEMITAIZ & MADMAN","TANTA ROBA LABEL","UNIVERSAL MUSIC"
854,"IL GALLO BARTOLITO","IL REGNO DEI BAMBINI","PLAYAUDIO KIDS","BELIEVE"
855,"HYMN FOR THE WEEKEND","COLDPLAY","PARLOPHONE","WARNER MUSIC"
856,"LOCA","AKA 7EVEN","COLUMBIA","SONY MUSIC"
857,"SBAGLIATA ASCENDENTE LEONE","EMMA","UME - GLOBAL CLEARING HOUSE","UNIVERSAL MUSIC"
858,"GOOD TIMES","GHALI","STO RECORDS/ATLANTIC","WARNER MUSIC"
859,"REVENGE","XXXTENTACION","BAD VIBES FOREVER","EMPIRE/SME"
860,"SPACE SONG","BEACH HOUSE","BELLA UNION","PIAS DIGITAL"
861,"IL PULCINO BALLERINO","PICCOLO CORO DELL'ANTONIANO","ZECCHINO D'ORO","SONY MUSIC"
862,"PRAY FOR ME","THE WEEKND & KENDRICK LAMAR","BLACK PANTHER (TDE/DMG) PS","UNIVERSAL MUSIC"
863,"LAST CHRISTMAS","WHAM!","SONY MUSIC","SONY MUSIC"
864,"JUST THE WAY YOU ARE","BRUNO MARS","ATLANTIC RECORDS","WARNER MUSIC"
865,"SHIRT","SZA","RCA RECORDS LABEL","SONY MUSIC"
866,"SEVEN NATION ARMY","THE WHITE STRIPES","XL RECORDINGS","BEGGARS NEW MEDIA"
867,"OUT OUT","JOEL CORRY & JAX JONES FEAT. CHARLI XCX & SAWEETIE","ASYLUM RECORDS","WARNER MUSIC"
868,"DA ZERO","NAYT & 3D","COLUMBIA","SONY MUSIC"
869,"STAN","EMINEM FEAT. DIDO","AFTERMATH","UNIVERSAL MUSIC"
870,"MORAD: BZRP MUSIC SESSIONS, VOL. 47","BIZARRAP & MORAD","DALE PLAY RECORDS","THE ORCHARD"
871,"LOADING","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
872,"DESPACITO","LUIS FONSI FEAT. DADDY YANKEE","UMLE - LATINO","UNIVERSAL MUSIC"
873,"PROBLÈMES","NÉZA, NABI","FLEXIN GENERATION SRLS","SONY MUSIC"
874,"RICCIONE","THEGIORNALISTI","CAROSELLO RECORDS","ARTIST FIRST"
875,"MALIBU","VEGAS JONES","VIRGIN","UNIVERSAL MUSIC"
876,"DANDELIONS","RUTH B.","SONY MUSIC","SONY MUSIC"
877,"IL BALLO DELLE INCERTEZZE","ULTIMO","HONIRO","BELIEVE"
878,"BITTER SWEET SYMPHONY","THE VERVE","VIRGIN RECORDS","UNIVERSAL MUSIC"
879,"MA IL CIELO È SEMPRE PIÙ BLU","RINO GAETANO","RCA RECORDS LABEL","SONY MUSIC"
880,"SOLO3MIN","NEGRAMARO","UNIVERSAL MUSIC ITALIA SRL. (SUGAR)","UNIVERSAL MUSIC"
881,"BIMBI","CHARLIE CHARLES FEAT. IZI, RKOMI, SFERA EBBASTA, TEDUA & GHA","UNIVERSAL MUSIC ITALIA","UNIVERSAL MUSIC"
882,"FORMULA","LABRINTH","MASTERWORKS","SONY MUSIC"
883,"4 MARZO 1943","LUCIO DALLA","RCA RECORDS LABEL","SONY MUSIC"
884,"P SECONDIGLIANO","GEOLIER2, NICOLA SICILIANO & POISON","POISON","CD BABY"
885,"ABBI CURA DI TE","HIGHSNOB & HU","BELIEVE/PARLOPHONE","BELIEVE/WARNER MUSIC"
886,"SPIGOLI","CARL BRAVE, MARA SATTEI & THASUP","ISLAND","UNIVERSAL MUSIC"
887,"DON'T GO YET","CAMILA CABELLO","EPIC","SONY MUSIC"
888,"GIRO GIRO TONDO","DARIA TOFFALI","BLUE MUSIC","THE ORCHARD"
889,"I SOLDI E LA DROGA","JAKE LA FURIA & LAZZA","EPIC","SONY MUSIC"
890,"VEDO VEDO","CAROLINA BENVENGA","SONY MUSIC","SONY MUSIC"
891,"ANGELS","ROBBIE WILLIAMS","UMC (UNIVERSAL MUSIC CATALOGUE)","UNIVERSAL MUSIC"
892,"BLUN7 A SWISHLAND","THASUP","EPIC","SONY MUSIC"
893,"SUNSHINE","ONEREPUBLIC","MOSLEY MUSIC/INTERSCOPE RECORDS","UNIVERSAL MUSIC"
894,"RUBINI","MAHMOOD & ELISA","ISLAND","UNIVERSAL MUSIC"
895,"NO","MEGHAN TRAINOR","SMI EPC","SONY MUSIC"
896,"WAITING FOR LOVE","AVICII","PM:AM RECORDINGS","UNIVERSAL MUSIC"
897,"HALO","BEYONCÉ","SONY MUSIC","SONY MUSIC"
898,"CHANDELIER","SIA","RCA RECORDS LABEL","SONY MUSIC"
899,"MISSIONE GIUNGLA","ME CONTRO TE","ME CONTRO TE","PK INTERACTIVE / DISTROKID"
900,"IMAGINE","JOHN LENNON","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
901,"SHOULD I STAY OR SHOULD I GO","THE CLASH","NOW! MUSIC","SONY MUSIC"
902,"THE BUSINESS","TIËSTO","ATLANTIC RECORDS","WARNER MUSIC"
903,"22 SETTEMBRE","ULTIMO","ULTIMO RECORDS","BELIEVE"
904,"STAY","RIHANNA FEAT. MIKKY EKKO","DEF JAM RECORDINGS","UNIVERSAL MUSIC"
905,"SCAPPO VADO VIA","NIKO PANDETTA FEAT. J2LASTEU","N.P. PRODUCTION","ADA"
906,"APOLOGIZE","TIMBALAND FEAT. ONEREPUBLIC","INTERSCOPE/BLACKGROUND RECORDS","UNIVERSAL MUSIC"
907,"FUTURA EX","GUÈ & ERNIA","ISLAND","UNIVERSAL MUSIC"
908,"DON'T LOOK BACK IN ANGER","OASIS","BIG BROTHER RECORDINGS LTD","THE ORCHARD"
909,"BELLA STORIA","FEDEZ","COLUMBIA","SONY MUSIC"
910,"IL REGALO PIÙ GRANDE","TIZIANO FERRO","EMI RECORDS ITALY S.R.L.","UNIVERSAL MUSIC"
911,"OBSESIÓN","AVENTURA","ARIOLA","SONY MUSIC"
912,"BODY PARTS (I DENTI)","MARRACASH","ISLAND","UNIVERSAL MUSIC"
913,"BUGIA","LAZZA & TORY LANEZ","ISLAND","UNIVERSAL MUSIC"
914,"BRING ME TO LIFE","EVANESCENCE","THE BICYCLE MUSIC COMPANY","UNIVERSAL MUSIC"
915,"CARELESS WHISPER","GEORGE MICHAEL","SONY MUSIC UK","SONY MUSIC"
916,"PORNOGRAFIA (BIANCO PARADISO)","BLANCO","ISLAND","UNIVERSAL MUSIC"
917,"UNA CANZONE D'AMORE BUTTATA VIA","VASCO ROSSI","VIRGIN","UNIVERSAL MUSIC"
918,"DIMENTICARE","SHIVA FEAT. FEDERICA ABBATE","MILANO OVEST/COLUMBIA","SONY MUSIC"
919,"WE FOUND LOVE","RIHANNA FEAT. CALVIN HARRIS","DEF JAM","UNIVERSAL MUSIC"
920,"DIVA","LA RAPPRESENTANTE DI LISTA","SONY MUSIC","SONY MUSIC"
921,"BACK TO BLACK","AMY WINEHOUSE","UNIVERSAL-ISLAND RECORDS LTD.","UNIVERSAL MUSIC"
922,"COME STAI","BRESH, SHUNE & IZI","EPIC","SONY MUSIC"
923,"OVER THE RAINBOW","ISRAEL KAMAKAWIWO'OLE","ZEITGEIST","UNIVERSAL MUSIC"
924,"QUALCOSA IN CUI CREDERE (LO SCHELETRO)","MARRACASH & GUÈ PEQUENO","ISLAND","UNIVERSAL MUSIC"
925,"VENERE E MARTE","TAKAGI & KETRA, MARCO MENGONI & FRAH QUINTALE","SONY MUSIC","SONY MUSIC"
926,"CIELO DAMMI LA LUNA","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
927,"CON IL NASTRO ROSA","LUCIO BATTISTI","NUMERO UNO","SONY MUSIC"
928,"DIOR","POP SMOKE","VICTOR VICTOR WORLDWIDE","UNIVERSAL MUSIC"
929,"LA DONNA CANNONE","FRANCESCO DE GREGORI","RCA RECORDS LABEL","SONY MUSIC"
930,"SACRIFICE","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
931,"SOLDI","MAHMOOD","ISLAND","UNI"
932,"TRANCE","METRO BOOMIN, TRAVIS SCOTT & YOUNG THUG","REPUBLIC RECORDS","UNIVERSAL MUSIC"
933,"LOVE THE WAY YOU LIE","EMINEM FEAT. RIHANNA","AFTERMATH","UNIVERSAL MUSIC"
934,"IN DA GETTO","J. BALVIN & SKRILLEX","VIRGIN","UNIVERSAL MUSIC"
935,"COMANDAMENTO","PAKY & GEOLIER","ISLAND","UNIVERSAL MUSIC"
936,"STARGIRL INTERLUDE","THE WEEKND","UNIVERSAL REPUBLIC RECORDS","UNIVERSAL MUSIC"
937,"NAPULE È","PINO DANIELE","WMI ITALY","WARNER MUSIC"
938,"ROCKET MAN (I THINK IT'S GOING TO BE A LONG LONG TIME)","ELTON JOHN","EMI","UNIVERSAL MUSIC"
939,"WE COULD BE TOGETHER","GABRY PONTE & LUM!X FEAT. DADDY DJ","GEKAI","WARNER MUSIC"
940,"YOSHI (REMIX)","MACHETE, DANI FAIV & J-BALVIN FEAT. THA SUPREME, FABRI FIBRA & CAPO PLAZA","EPIC","SONY MUSIC"
941,"IL COCCODRILLO COME FA?","PICCOLO CORO DELL'ANTONIANO","ZECCHINO D'ORO","SONY MUSIC"
942,"BUON VIAGGIO (SHARE THE LOVE)","CESARE CREMONINI","UNIVERSAL MUSIC ITALIA SRL.","UNIVERSAL MUSIC"
943,"ZITTA","SICK BUDD & SILENT BOB","N.A.","PK INTERACTIVE / DISTROKID"
944,"WRECKING BALL","MILEY CYRUS","RCA INT.","SONY MUSIC"
945,"ROCKSTAR","POST MALONE FEAT. 21 SAVAGE","UNIVERSAL RECORDS","UNIVERSAL MUSIC"
946,"QUESTO PICCOLO GRANDE AMORE","CLAUDIO BAGLIONI","RCA RECORDS LABEL","SONY MUSIC"
947,"DRIVERS LICENSE","OLIVIA RODRIGO","VIRGIN","UNIVERSAL MUSIC"
948,"STELLA DI MARE","CESARE CREMONINI & LUCIO DALLA","VIRGIN/SONY MUSIC","UNIVERSAL MUSIC"
949,"HATE IT OR LOVE IT","THE GAME FEAT. 50 CENT","GEFFEN","UNIVERSAL MUSIC"
950,"MR. BRIGHTSIDE","THE KILLERS","ISLAND","UNIVERSAL MUSIC"
951,"FIORI DI CHERNOBYL","MR.RAIN","WM ITALY","WARNER MUSIC"
952,"MINUETTO","MIA MARTINI","BMG RIGHTS MGMT ITALY S.R.L.","WARNER MUSIC"
953,"METEORITI","MR.RAIN","ATLANTIC","WARNER MUSIC"
954,"DOWN IN ATLANTA","PHARRELL WILLIAMS & TRAVIS SCOTT","COLUMBIA","SONY MUSIC"
955,"NO ROLE MODELZ","J. COLE","ROC NATION RECORDS LLC","UNIVERSAL MUSIC"
956,"REMEMBER","BECKY HILL & DAVID GUETTA","POLYDOR RECORDS","UNIVERSAL MUSIC"
957,"ADAN Y EVA","PAULO LONDRA","WEA LATINA","WARNER MUSIC"
958,"LA CHIAVE","SALMO FEAT. MARRACASH","COLUMBIA","SONY MUSIC"
959,"SHAKE IT OFF","TAYLOR SWIFT","BIG MACHINE RECORDS, LLC","UNIVERSAL MUSIC"
960,"ALTALENE","BLOODY VINYL, SLAIT, THA SUPREME FEAT. MARA SATTEI, COEZ","ARISTA","SONY MUSIC"
961,"WEST COAST","ONEREPUBLIC","MOSLEY MUSIC/INTERSCOPE RECORDS","UNIVERSAL MUSIC"
962,"WEEKEND","BLOODY VINYL, SLAIT, YOUNG MILES FEAT. LAZZA, MADAME, MASSIMO PERICOLO","ARISTA","SONY MUSIC"
963,"YOUR SONG","ELTON JOHN","MERCURY","UNIVERSAL MUSIC"
964,"LOVE IN THE DARK","ADELE","XL RECORDINGS","BEGGARS NEW MEDIA"
965,"DANZA KUDURO","LUCENZO FEAT. DON OMAR","ZEITGEIST","UNIVERSAL MUSIC"
966,"CAS!NO NELLA M!A TESTA","THASUP FEAT. SALMO","ARISTA/COLUMBIA","SONY MUSIC"
967,"HOLD BACK THE RIVER","JAMES BAY","UNIVERSAL RECORDS","UNIVERSAL MUSIC"
968,"PHYSICAL","DUA LIPA","WARNER RECORDS","WARNER MUSIC"
969,"RON COLA","RAUW ALEJANDRO & SUBELO NEO","EPIC","SONY MUSIC"
970,"FIRST CLASS","JACK HARLOW","GENERATION NOW/ATLANTIC","WARNER MUSIC"
971,"GIULIA","PINGUINI TATTICI NUCLEARI","RCA RECORDS LABEL","SONY MUSIC"
972,"BOULEVARD OF BROKEN DREAMS","GREEN DAY","REPRISE","WARNER MUSIC"
973,"SCACCIACANI","KETAMA126 & MASSIMO PERICOLO","EPIC","SONY MUSIC"
974,"IRIS (TRA LE TUE POESIE)","BIAGIO ANTONACCI","UNIVERSAL MUSIC ITALIA SRL.","UNIVERSAL MUSIC"
975,"NORD SUD OVEST EST","MAX PEZZALI & 883","WM ITALY","WARNER MUSIC"
976,"DALL'ALTRA PARTE DEL MONDO","PETER WHITE","PETER WHITE","FUGA / IIP-DDS"
977,"WHERE'S MY LOVE","SYML","NETTWERK RECORDS","WARNER MUSIC"
978,"OPINEL","SIMBA LA RUE","WM ITALY","WARNER MUSIC"
979,"LAY LOW","TIËSTO","MUSICAL FREEDOM","WARNER MUSIC"
980,"GIRLS JUST WANT TO HAVE FUN","CYNDI LAUPER","COLUMBIA/SONY MUSIC SOUNDTRAX","SONY MUSIC"
981,"LA GENESI DEL TUO COLORE","IRAMA","WM ITALY","WARNER MUSIC"
982,"SAY SOMETHING","A GREAT BIG WORLD FEAT. CHRISTINA AGUILERA","EPIC","SONY MUSIC"
983,"QUEL FILO CHE CI UNISCE","ULTIMO","ULTIMO RECORDS","BELIEVE"
984,"HEAD & HEART","JOEL CORRY FEAT. MNEK","ATLANTIC RECORDS UK","WARNER MUSIC"
985,"LAVENDER HAZE","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
986,"GYAL YOU A PARTY ANIMAL","CHARLY BLACK","VP RECORDS","WARNER MUSIC"
987,"IT'S MY LIFE","BON JOVI","BON JOVI PROFIT SPLIT (CATALOG)","UNIVERSAL MUSIC"
988,"EVERGREEN","OMAR APOLLO","WARNER RECORDS","WARNER MUSIC"
989,"PICCOLA STELLA SENZA CIELO","LIGABUE","WM ITALY","WARNER MUSIC"
990,"WEEKEND","ERNIA","ISLAND","UNIVERSAL MUSIC"
991,"LA TUA CANZONE","COEZ","CAROSELLO RECORDS","THE ORCHARD"
992,"SERE NERE","TIZIANO FERRO","CAROSELLO RECORDS","CAROSELLO RECORDS"
993,"HALL OF FAME","THE SCRIPT FEAT. WILL.I.AM","EPIC/PHONOGENIC","SONY MUSIC"
994,"EL FARSANTE","OZUNA","VP RECORDS CORP/DIMELO VI","SONY MUSIC"
995,"STELLA STELLINA","COCCOLE SONORE","DNA SRL","BELIEVE"
996,"DENDE","GHALI","STO RECORDS","BELIEVE"
997,"VOLARE","DANNY OCEAN","ATLANTIC RECORDS","WARNER MUSIC"
998,"AUTO BLU","SHIVA & EIFFEL 65","JIVE","SONY MUSIC"
999,"BENE","GEMITAIZ","TANTA ROBA LABEL","UNIVERSAL MUSIC"
1000,"CENERE","NASHLEY","3FLOWRIDA","BELIEVE"
